Reference	Average.coverage
_IVK_DM_Non-LTR_retrotransposon_I	85.5757127
_IVK_DM_Non-LTR_retrotransposon_I	77.1982599
_Invader6_I_LTR_Gypsy	0.241034399
_Invader6_I_LTR_Gypsy	0.215174433
_Invader6_I_LTR_Gypsy	22.71310076
_Invader6_I_LTR_Gypsy	32.33056843
_Invader6_I_LTR_Gypsy	38.02342035
_Invader6_I_LTR_Gypsy	70.62551842
_Invader6_I_LTR_Gypsy	94.24225421
_Invader6_I_LTR_Gypsy	81.79726763
_Invader6_I_LTR_Gypsy	95.33959502
_Invader6_I_LTR_Gypsy	36.61332032
_Invader6_I_LTR_Gypsy	52.44571847
_Invader6_I_LTR_Gypsy	40.95681874
_Invader6_I_LTR_Gypsy	52.45596487
_Jockey-3_DRh_Non-LTR_retrotransposon_Jockey	0.05380882
_Jockey-3_DRh_Non-LTR_retrotransposon_Jockey	0.3507069
_Jockey-3_DRh_Non-LTR_retrotransposon_Jockey	0.127875079
_Jockey-3_DRh_Non-LTR_retrotransposon_Jockey	0.184427094
_Jockey-3_DRh_Non-LTR_retrotransposon_Jockey	0.341844271
_Jockey-3_DRh_Non-LTR_retrotransposon_Jockey	0.133361469
_Jockey-3_DRh_Non-LTR_retrotransposon_Jockey	0.445663642
_Jockey-3_DRh_Non-LTR_retrotransposon_Jockey	0.194766828
_Jockey-3_DRh_Non-LTR_retrotransposon_Jockey	0.130829289
_Jockey-3_DRh_Non-LTR_retrotransposon_Jockey	0.099388057
_Jockey-3_DRh_Non-LTR_retrotransposon_Jockey	0.346697616
_Jockey-3_DRh_Non-LTR_retrotransposon_Jockey	0.146233383
_Jockey-3_DRh_Non-LTR_retrotransposon_Jockey	0.269888162
_MAX_I_LTR_Pao	0.643543088
_MAX_I_LTR_Pao	1.872378064
_MAX_I_LTR_Pao	113.267627
